"participant_name","matches_played","wins","win_percentage","avg_points","performance_index","stages_participated"
"TARTAKOVSKY Elizabeth",1,0,0,13,390,1
"THIBUS Ysaora",1,0,0,12,360,1
"TOFALIDES Alex",2,1,50,12.5,410,2
"TOLBA Abdelrahman Hussein",2,1,50,11.5,380,2
"TOLDO Guilherme",1,0,0,7,210,1
"TULEN Tristan",1,0,0,11,330,1
"UENO Yuka",1,0,0,13,390,1
"UWIHOREYE Tufaha",1,0,0,7,210,1
"Ukraine",6,4,66.6666666666667,43.1666666666667,1341.66666666667,5
"United States of America",15,8,53.3333333333333,41.0666666666667,1269.33333333333,7
"VISMARA Federico",3,2,66.6666666666667,14,466.666666666667,3
"VITALIS Coraline",2,1,50,13.5,440,2
"VOLPI Alice",5,3,60,13.4,444,5
"Venezuela",3,1,33.3333333333333,36,1103.33333333333,3
"WAKIM Philippe",1,0,0,13,390,1
"WALCZYK-KLIMASZYK Julia",2,1,50,10.5,350,2
"WANG Yuting",1,0,0,8,240,1
"WANG Zijie",2,1,50,9.5,320,2
"WOJTKOWIAK Adrian",1,0,0,10,300,1
"XIAO Ruien",2,1,50,14.5,470,2
"XU Jie",1,0,0,10,300,1
"YAMADA Masaru",3,2,66.6666666666667,13.6666666666667,456.666666666667,3
"YANG Hengyu",1,0,0,9,270,1
"YASSEEN Mohamed",1,0,0,8,240,1
"YILDIRIM Enver",1,0,0,10,300,1
"YOON Jisu",2,1,50,12,395,2
"YOSHIDA Kento",1,0,0,11,330,1
"YOSHIMURA Miho",3,2,66.6666666666667,13,436.666666666667,3
"YU Sihan",3,2,66.6666666666667,13.3333333333333,446.666666666667,3
"ZAKARANI Youssra",1,0,0,3,90,1
"ZEA Gibran",2,1,50,10.5,350,2
"ZHANG Nicholas",1,0,0,11,330,1
"ZHANG Yunjia",2,1,50,10,335,2
"di TELLA Pascual Maria",2,1,50,13,425,2
"di VEROLI Davide",2,1,50,12.5,410,2
"van HAASTER Maximilien",1,0,0,4,120,1
