"participant_country","event_name","country_total_wins","country_avg_performance","participants_per_event","discipline_avg_points","discipline_win_percentage"
"Italy","Women's Foil Individual",7,48.7727272727273,3,14.0909090909091,63.6363636363636
"Italy","Women's Foil Team",2,59.0333333333333,1,43,66.6666666666667
"Italy","Women's Sabre Individual",0,3.2,3,10.6666666666667,0
"Italy","Women's Sabre Team",1,59.0333333333333,1,39,33.3333333333333
"Italy","Women's Épée Individual",2,31.84,3,12.8,40
"Italy","Women's Épée Team",3,59.0333333333333,1,38,100
"Japan","Men's Foil Individual",4,38.8625,3,12.875,50
"Japan","Men's Foil Team",3,64.575,1,45,100
"Japan","Men's Sabre Individual",0,3.3,1,11,0
"Japan","Men's Épée Individual",8,60.02,3,13.4,80
"Japan","Men's Épée Team",2,64.575,1,36.3333333333333,66.6666666666667
"Japan","Women's Foil Individual",0,3.7,3,12.3333333333333,0
"Japan","Women's Foil Team",2,64.575,1,39,66.6666666666667
"Japan","Women's Sabre Individual",1,20.575,3,10.25,25
"Japan","Women's Sabre Team",2,64.575,1,40.6666666666667,66.6666666666667
"Japan","Women's Épée Individual",2,50.5666666666667,1,13,66.6666666666667
"Kazakhstan","Men's Épée Individual",4,43.9428571428571,3,13.1428571428571,57.1428571428571
"Kazakhstan","Men's Épée Team",1,33.5333333333333,1,34,33.3333333333333
"Kazakhstan","Women's Sabre Individual",1,39.05,1,13.5,50
"Kenya","Women's Épée Individual",0,3.6,1,12,0
"Korea","Men's Foil Individual",0,3.9,1,13,0
"Korea","Men's Sabre Individual",6,56.5875,3,13.625,75
"Korea","Men's Sabre Team",3,67.3777777777778,1,45,100
"Korea","Men's Épée Individual",0,3.6,1,12,0
"Korea","Women's Sabre Individual",6,46.17,3,13.9,60
"Korea","Women's Sabre Team",2,67.3777777777778,1,44,66.6666666666667
"Korea","Women's Épée Individual",1,21.025,3,11.75,25
"Korea","Women's Épée Team",2,67.3777777777778,1,40.3333333333333,66.6666666666667
"Kuwait","Men's Sabre Individual",0,1.8,1,6,0
"Lebanon","Men's Foil Individual",0,3.9,1,13,0
"Mexico","Men's Sabre Individual",1,38.15,1,10.5,50
"Morocco","Men's Épée Individual",0,3.9,1,13,0
"Morocco","Women's Foil Individual",0,0.9,1,3,0
"Netherlands","Men's Épée Individual",0,3.3,1,11,0
"Niger","Men's Sabre Individual",0,2.4,1,8,0
"Peru","Women's Épée Individual",0,4.2,1,14,0
"Philippines","Women's Foil Individual",1,39.05,1,13.5,50
"Poland","Men's Foil Individual",1,20.65,3,10.5,25
"Poland","Men's Foil Team",1,42.2777777777778,1,38,33.3333333333333
"Poland","Women's Foil Individual",2,31.6,3,12,40
"Poland","Women's Foil Team",1,42.2777777777778,1,39.6666666666667,33.3333333333333
"Poland","Women's Épée Individual",1,20.65,3,10.5,25
"Poland","Women's Épée Team",2,42.2777777777778,1,34,66.6666666666667
"Romania","Women's Foil Individual",1,38.6,1,12,50
"Rwanda","Women's Épée Individual",0,2.1,1,7,0
"Senegal","Women's Épée Individual",0,4.2,1,14,0
"Singapore","Women's Foil Individual",0,3.9,1,13,0
"Singapore","Women's Épée Individual",1,38.75,1,12.5,50
"South Africa","Men's Épée Individual",0,2.7,1,9,0
"Spain","Men's Foil Individual",1,39.05,1,13.5,50
"Spain","Women's Sabre Individual",0,2.4,1,8,0
"Switzerland","Men's Épée Individual",0,2.7,1,9,0
"Switzerland","Women's Épée Individual",0,3.3,1,11,0
"Tunisia","Men's Sabre Individual",4,60.26,1,14.2,80
"Tunisia","Women's Sabre Individual",1,38.6,1,12,50
"TÃ¼rkiye","Men's Sabre Individual",0,3,1,10,0
"TÃ¼rkiye","Women's Sabre Individual",1,38,1,10,50
"Ukraine","Women's Sabre Individual",5,47.65,3,13,62.5
"Ukraine","Women's Sabre Team",3,59.6166666666667,1,45,100
"Ukraine","Women's Épée Individual",4,43.7714285714286,3,12.5714285714286,57.1428571428571
"Ukraine","Women's Épée Team",1,59.6166666666667,1,41.3333333333333,33.3333333333333
"United States","Men's Foil Individual",6,50.6333333333333,3,13.2222222222222,66.6666666666667
"United States","Men's Foil Team",1,49.6533333333333,1,38.3333333333333,33.3333333333333
"United States","Men's Sabre Individual",1,21.1,3,12,25
"United States","Men's Sabre Team",1,49.6533333333333,1,43,33.3333333333333
"United States","Women's Foil Individual",9,61.4454545454545,3,13.9090909090909,81.8181818181818
"United States","Women's Foil Team",3,49.6533333333333,1,45,100
"United States","Women's Sabre Individual",0,3.8,3,12.6666666666667,0
"United States","Women's Sabre Team",2,49.6533333333333,1,41.6666666666667,66.6666666666667
"United States","Women's Épée Individual",2,31.48,3,11.6,40
"United States","Women's Épée Team",1,49.6533333333333,1,37.3333333333333,33.3333333333333
"Uzbekistan","Women's Sabre Individual",0,3.3,1,11,0
"Venezuela","Men's Épée Individual",2,31.84,3,12.8,40
"Venezuela","Men's Épée Team",1,34.1333333333333,1,36,33.3333333333333
"Venezuela","Women's Sabre Individual",0,3,1,10,0
"Virgin Islands, US","Men's Foil Individual",0,2.4,1,8,0
